,17%,25%,50%,75%,83%
B[Maui-Kihei Waves x Waves],-0.361210355,-0.271816107,-0.091415602,0.005114193,0.034572013
B[Maui-Lahaina Waves x Waves],-0.368361068,-0.276421436,-0.094644517,0.004307082,0.032395102
B[Maui-Northeast Waves x Waves],-0.363192081,-0.275427038,-0.095897369,0.004667957,0.032932002
B[Maui-Northwest Waves x Waves],-0.363513195,-0.274345442,-0.092970769,0.005603955,0.034877072
B[Molokai-Northwest Waves x Waves],-0.367693939,-0.279296894,-0.102212474,0.001368193,0.028442158
B[Molokai-Pali Waves x Waves],-0.351106275,-0.268459894,-0.098256335,0.001667869,0.026978126
B[Molokai-South Waves x Waves],-0.365863262,-0.277735354,-0.099132705,0.002510041,0.028888305
B[Molokai-West Waves x Waves],-0.385924027,-0.292354193,-0.107300393,-0.000932607,0.024233839
B[Niihau-East Waves x Waves],-0.391126602,-0.295230404,-0.110124427,-0.000615712,0.025304277
B[Niihau-Lehua Waves x Waves],-0.378099247,-0.289555899,-0.10428374,0.002453721,0.031141043
B[Niihau-West Waves x Waves],-0.400471685,-0.311115176,-0.127624714,-0.009808719,0.013248642
B[Oahu-East Waves x Waves],-0.403447055,-0.305001619,-0.11468166,-0.002383052,0.021662341
B[Oahu-Kaena Waves x Waves],-0.434609007,-0.338757525,-0.138123595,-0.012829981,0.010768547
B[Oahu-Northeast Waves x Waves],-0.402709412,-0.308440692,-0.117543728,-0.004757884,0.020136435
B[Oahu-Northwest Waves x Waves],-0.433120282,-0.336950569,-0.135659598,-0.011655062,0.012760827
B[Oahu-South Waves x Waves],-0.429302261,-0.327701209,-0.125258895,-0.005732714,0.019038289
B[Hawaii-Hamakua Human Density],-0.473561195,-0.40530552,-0.244265719,-0.080859266,-0.008903872
B[Hawaii-Kona Human Density],-0.382019193,-0.317906211,-0.161048123,0.010162163,0.093717898
B[Hawaii-Puna Human Density],-0.525198359,-0.445481056,-0.281282399,-0.120651744,-0.054799744
B[Hawaii-Southeast Human Density],-0.45615259,-0.386950796,-0.227664932,-0.064917071,0.004179488
B[Kauai-East Human Density],-0.58557639,-0.493078733,-0.291454029,-0.089280453,-0.003337176
B[Kauai-Na Pali Human Density],-0.726200987,-0.619267437,-0.401374155,-0.218444063,-0.144762618
B[Lanai-North Human Density],-0.61163072,-0.524288353,-0.337341032,-0.165143459,-0.094628598
